0,1
Wnt3,Fzd6
Wnt3,Egfr
Wnt3,Fzd2
Wnt3,Lrp5
Wnt3,Fzd1
Wnt3,Fzd3
Wnt3,Fzd8
Wnt3,Ror1
Wnt3,Lrp6
Wnt3,Ror2
Wnt3,Fzd5
Wnt3,Fzd7
Wnt9a,Egfr
Wnt9a,Fzd7
Wnt9a,Fzd9
Wnt9a,Fzd4
Fgf23,Fgfr1
Fgf23,Fgfr4
Fgf23,Fgfr2
Fgf23,Fgfr3
Fgf23,Kl
Fgf6,Fgfr1
Fgf6,Fgfr4
Fgf6,Fgfr2
Fgf6,Fgfr3
Ccl2,Ccr4
Ccl2,Ccr2
Ccl2,Ackr1
Ccl2,Ackr2
Ccl12,Ccr4
Ccl12,Ccr2
Cdh1,Egfr
Cdh1,Fgfr1
Cdh1,Itgb7
Cdh1,Ptprj
Cdh1,Itgae
Cdh1,Ptprm
Cdh1,Igf1r
Cdh1,Klrg1
Ccl11,Ccr2
Ccl11,Ackr2
Ccl11,Ccr5
Ccl11,Cxcr3
Ccl11,Ccr3
Ccl11,Ackr4
Pdgfb,Lrp1
Pdgfb,Pdgfra
Pdgfb,Pdgfrb
Fasl,Fas
Il4,Il4ra
Il4,Il2ra
Il4,Tlr2
Il4,Il2rg
Il4,Il13ra1
Il4,Il13ra2
Ccl3,Ackr2
Ccl3,Ccr5
Ccl3,Ccr3
Ccl3,Ccr1
Icam4,Itgav
Icam4,Itgam
S100a4,Egfr
S100a4,Erbb2
Icam2,Itgam
Icam2,Itgal
Icam2,Itgb2
Efnb2,Ephb2
Efnb2,Epha3
Efnb2,Epha4
Efnb2,Ephb3
Efnb2,Epha7
Efnb2,Ephb4
Efnb2,Epha6
Efnb2,Ephb6
Efnb2,Ephb1
Sost,Lrp5
Sost,Lrp6
Col1a1,Itgb1
Col1a1,Cd44
Col1a1,Cd93
Il16,Grin2c
Il16,Kcnj4
Il16,Grin2d
Il16,Kcna3
Il16,Kcnd2
Il16,Kcnj15
Il16,Kcnd1
Il16,Cd4
Il16,Kcnj10
Angptl4,Gpihbp1
Bmp8b,Acvr2b
Bmp8b,Bmpr1b
Bmp8b,Acvr2a
Bmp8b,Tgfbr2
Bmp8b,Bmpr2
Bmp8b,Bmpr1a
Tgfb1,Itgb1
Tgfb1,Tgfbr2
Tgfb1,Tgfbr1
Tgfb1,Eng
Tgfb1,Sdc2
Tgfb1,Tgfbr3
Tgfb1,Itgb8
Tgfb1,Acvrl1
Shh,Cdon
Shh,Pvr
Shh,Ptch1
Shh,Lrp2
Shh,Hhip
Shh,Gpc1
Shh,Gpc6
Shh,Cav1
Shh,Gas1
Shh,Ptch2
Shh,Smo
Pspn,Gfra4
Pspn,Ret
Lamb1,Itgb1
Lamb1,Itga6
Efna2,Epha3
Efna2,Epha4
Efna2,Epha7
Efna2,Epha6
Efna2,Epha10
Efna2,Epha8
Efna2,Epha1
